"Name","id","Last Updated","Phone","Email","Website/Social Media","Neighborhood","Category","Pod","Latitude","Longitude","Address","Zip Code","Status","Special Accommodation Hours","Pickup Offered","Delivery Offered","Hours","Created time","Source","Delivery/Pickup Notes","Donate","Sub-Category","Notes","SNAP/EBT"
"4 Season Paint Store ",1,"2020-05-01","718-784-5103","4seasonpaintstore@gmail.com","https://www.facebook.com/4seasonpaint/","Greenpoint","Hardware Store","1",40.735448,-73.955433,"1077 Manhattan Ave. Brooklyn NY ","11222","Open","None","Yes (Call ahead)","Yes (Call for delivery)","Mon-Sat: 8am-4pm / Sunday: Closed
","2020-04-29T00:34:13.000Z",,,,,,
"21 Greenpoint",2,"2020-05-21","718-383-8833","info@21greenpoint.com","https://www.instagram.com/21greenpoint/","Greenpoint","Bar","4",40.729892,-73.959945,"21 Greenpoint Ave., Brooklyn, NY 11222","11222","Open",,"Yes","Yes","Weds-Sun: 2pm-7pm
","2020-04-29T01:01:15.000Z","North Brooklyn Neighbors","Takeout window open. Free wine delivery, email info@21greenpoint.com for wine list. 
Same day delivery available for orders placed by 5pm.
","https://www.gofundme.com/f/21-greenpoint-staff","American",,
"Acapulco Deli & Restaurant",3,"2020-05-15","718-349-8429","info@acapulcodeliandrestaurant.com","http://www.acapulcodeliandrestaurant.com/","Greenpoint","Restaurant","1",40.73671,-73.955092,"1116 Manhattan Ave, Brooklyn, NY 11222","11222","Open",,"Yes","Yes","Mon-Fri: 7am-10pm / Sat-Sun: 9am-10pm
","2020-04-29T01:01:15.000Z","Instagram","Please call for all delivery and pickup orders
",,"Mexican",,
"Achilles Heel",4,"2020-05-15","347-987-3666",,"https://www.instagram.com/achillesheelbk/","Greenpoint","Bar","2",40.733178,-73.959613,"180 West St.","11222","Open",,"Yes","No","Fri-Sun: 1pm-7pm
","2020-04-29T01:01:15.000Z",,"Order food & drinks via their website.
","https://www.gofundme.com/f/staff-of-achilles-heel-relief-support","American","Staff fundraiser for Marlow Collective: <https://shop.dinernyc.com/store/c49/Staff_Fundraiser.html>
",
"Acme Smoked Fish",5,"2020-05-15","718-383-8585",,"https://www.instagram.com/acmesmokedfish/","Greenpoint","Restaurant","7",40.725038,-73.956246,"30 Gem St. Brooklyn, NY 11222","11222","Open",,"Yes","No","Fri: 8am-2pm (must pre-order)
","2020-04-29T01:01:15.000Z",,"Ordering opens at noon on Tuesdays for pick-up on Friday ONLY. Curbside pick-up only. No walk-ins. Orders must be placed by 10AM on Fridays. Pickup times available between 8am-2pm Friday.  <https://acmesmokedfish.smartonlineorder.com/>
",,"Seafood Wholesaler,Jewish","
",
"Adelina's ",6,"2020-05-15","347-763-0152","INFO@ADELINASBK.COM","https://www.instagram.com/adelinas_wine","Greenpoint","Restaurant","6",40.730446,-73.95339,"159 Greenpoint Ave.","11222","Open",,"Yes","Yes","Weds-Mon: 4pm-9pm
","2020-04-29T01:01:15.000Z","Instagram","Delivery via Seamless, Grubhub, Doordash and Caviar, or call to save the restaurant the 3rd party fee.
","https://www.gofundme.com/f/adelina039s-staff-donation","Italian",,
"Alameda ",7,"2020-05-03","347-227-7296",,"https://www.instagram.com/alamedagreenpoint/","Greenpoint","Bar","2",40.733515,-73.958431,"195 Franklin St.","11222","Closed",,,,,"2020-04-29T01:01:15.000Z",,,"https://www.gofundme.com/f/alameda-staff-support","American",,
"All Fresh Supermarket",8,,"(718) 302-1818",,,"South Williamsburg","Grocery Store","33",40.705532,-73.953463,"46 Harrison Avenue, Brooklyn, NY 11211","11211","Follow-up",,,,,"2020-04-29T00:34:13.000Z",,,,,,
"All in 1 Petshop",9,"2020-05-06","347-763-2228","None","https://allin1petshop.com/","Greenpoint","Pet Supplies","6",40.72897,-73.953501,"846 Manhattan Avenue, Brooklyn, NY 11222","11222","Open",,,,"Mon, Wed, Fri-Sat: 12pm-6pm
","2020-04-29T00:34:13.000Z","North Brooklyn Neighbors",,,,"<https://www.instagram.com/allin1petshop/>
",
"Altru Chemists Pharmacy",10,"2020-05-06","(718) 349-9009",,,"Greenpoint","Pharmacy","2",40.732751,-73.954991,"987 Manhattan Ave, Brooklyn, NY 11222","11222","Open",,"Yes","Yes","Mon-Sat: 10am-7pm
","2020-04-29T00:34:13.000Z","North Brooklyn Neighbors","Free delivery including OTC medicines.
",,,"
",
